"Order ID","Order Date","Seller","Base Currency","Shipping","Insurance","Add Chrg 1","Add Chrg 2","Credit","Coupon Credit","Order Total","Tax","Base Grand Total","Total Lots","Total Items","Order Status","Order Status Changed","Pmt In","Pmt Method","Order Note","Tracking No","Location","Batch","Batch Date","Condition","Item Description","Qty","Each","Total","Item Type","Item Number","Weight","Inv ID","Sub-Condition"

"29188811","8/25/2025","Ctbyrne","USD","","","","","","","$128.12","$0.00","$128.12","2","30","Shipped","8/25/2025","USD","Credit/Debit (Powered by Stripe)","","9400150105501128641601","USA, Pennsylvania","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","8/25/2025","New","Wu Sensei - 10th Anniversary Golden Ninja Unassembled.","15","$8.382","$125.73","Minifigure","njo0658","3.6","250355840",""
"","","","","","","","","","","","","","","","","","","","","","","1","8/25/2025","New","Pearl Gold Bar   6L with Stop Ring ","15","$0.159","$2.385","Part","63965","0.44","141216862",""
"29179116","8/23/2025","Lego_Buff","USD","$5.00","","","","","","$120.00","$0.00","$125.00","1","15","Shipped","8/24/2025","USD","PayPal","","9400150105501125687022","USA, Virginia","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","8/23/2025","New","Clone Trooper Commander &#40;Phase 1&#41; - Bright Light Orange Arms, Nougat Head Includes blaster!","15","$8.00","$120.00","Minifigure","sw1146","4","490745762",""
"29163344","8/22/2025","MRBrickDesigner","USD","$4.45","","","","","","$30.44","$0.00","$34.89","10","237","Received","8/29/2025","USD","PayPal","","9400150206217241280860","USA, Colorado","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","1","8/22/2025","New","Black Brick, Round  1 x 1 ","11","$0.06","$0.66","Part","3062","0.28","195735749",""
"","","","","","","","","","","","","","","","","","","","","","","1","8/22/2025","New","Black Minifigure, Utensil Camera Handheld Style with Extended Bar Handle ","20","$0.10","$2.00","Part","30089b","0.44","96844966",""
"","","","","","","","","","","","","","","","","","","","","","","1","8/22/2025","New","Black Minifigure, Weapon Gun, Blaster SW Small with Scope ","10","$0.15","$1.50","Part","92738","0.23","434126581",""
"","","","","","","","","","","","","","","","","","","","","","","1","8/22/2025","New","Light Bluish Gray Brick, Round 2 x 2 Dome Top ","18","$0.06","$1.08","Part","553","0.83","340220240",""
